Date,Lo-3Prior,7-Hi Prior,ValueLo30,ValueMed40,ValueHi30,SizeLo30,SizeMed40,SizeHi30,Mkt_RF,SMB,HML,RF,WML,Mkt,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR,Big_Small_Hi_Lo_Spread
6/30/1933,0.15,0.16,0.1154,0.1598,0.2112,0.2751,0.1685,0.1264,0.1311,0.0867,-0.0188,0.0002,0.0354,0.1313,0.217,0.2229,0.2141,0.1017,0.1159,0.1753,0.03535
7/31/1933,-0.09,-0.10,-0.089,-0.1304,-0.0893,-0.0542,-0.1141,-0.0951,-0.0963,-0.0101,0.0327,0.0002,0.0041,-0.0961,-0.1077,-0.1259,-0.105,-0.0877,-0.1077,-0.0823,0.00405
8/31/1933,0.07,0.19,0.106,0.1537,0.1727,0.0536,0.1385,0.12,0.1205,-0.0545,0.0296,0.0003,0.0751,0.1208,0.0902,0.1115,0.1015,0.0708,0.167,0.2096,0.07505
9/30/1933,-0.14,-0.11,-0.0914,-0.1243,-0.196,-0.1727,-0.1473,-0.1014,-0.1065,-0.0032,-0.1177,0.0002,0.0165,-0.1063,-0.1869,-0.1515,-0.1539,-0.1154,-0.0841,-0.1154,0.0165
10/31/1933,-0.08,-0.09,-0.0618,-0.1072,-0.1721,-0.1262,-0.1001,-0.0802,-0.0836,-0.0008,-0.0846,0.0001,-0.0228,-0.0835,-0.1044,-0.1304,-0.1346,-0.0762,-0.085,-0.0916,-0.0228
11/30/1933,0.04,0.12,0.0966,0.1177,0.1176,0.0373,0.0715,0.103,0.0997,-0.0648,0.0233,0.0002,0.0635,0.0999,0.0155,0.0713,0.0649,0.079,0.098,0.1566,0.0635
12/31/1933,0.01,0.05,0.0213,0.0197,0.0296,0.0259,0.0245,0.0173,0.0183,0.0066,-0.0153,0.0002,0.0396,0.0185,0.0002,0.0414,0.0134,0.0018,0.0072,0.0678,0.0396
1/31/1934,0.16,0.12,0.0994,0.1757,0.26,0.3651,0.2522,0.113,0.126,0.1253,0.1554,0.0005,-0.031,0.1265,0.3754,0.3366,0.3612,0.1454,0.11,0.0977,-0.03095
2/28/1934,-0.02,-0.03,-0.0237,-0.0282,-0.0249,0.0544,-0.002,-0.0275,-0.025,0.0519,0.0212,0.0002,-0.0025,-0.0248,0.0225,0.0114,0.0251,-0.0237,-0.0254,-0.0314,-0.00255
3/31/1934,0.00,0.02,0.0003,0.0002,-0.0053,0.0165,0.0071,-0.0005,0.0009,0.0251,-0.0273,0.0002,-0.0086,0.0011,0.0299,-0.0004,0.0088,-0.0003,-0.0006,0.0036,-0.0086
4/30/1934,0.00,-0.05,-0.0174,-0.0224,-0.0418,0.0148,-0.0243,-0.0182,-0.0179,0.028,-0.0375,0.0001,-0.0512,-0.0178,0.0267,0.0073,-0.0195,-0.002,-0.0296,-0.0583,-0.05125
5/31/1934,-0.06,-0.09,-0.0641,-0.0869,-0.1328,-0.1207,-0.1005,-0.0685,-0.0725,-0.0026,-0.0591,0.0001,-0.0283,-0.0724,-0.0971,-0.1129,-0.1243,-0.0588,-0.0831,-0.0883,-0.02835
6/30/1934,0.03,0.02,0.0264,0.023,0.0202,-0.018,0.0089,0.0287,0.0264,-0.0214,-0.0292,0.0001,-0.0096,0.0265,-0.0148,0.0008,-0.0156,0.0353,0.029,0.0169,-0.0096
7/31/1934,-0.21,-0.08,-0.0842,-0.1206,-0.2336,-0.2404,-0.178,-0.1009,-0.1096,-0.0694,-0.1066,0.0001,0.0873,-0.1095,-0.2385,-0.2473,-0.1805,-0.1935,-0.1051,-0.077,0.08725
8/31/1934,0.04,0.06,0.0612,0.0461,0.0664,0.1279,0.0843,0.0519,0.0558,0.0542,0.005,0.0001,0.0241,0.0559,0.1061,0.1203,0.14,0.0419,0.0546,0.0562,0.0241
9/30/1934,0.01,0.00,-0.0027,-0.0016,-0.006,-0.0283,-0.0012,-0.0009,-0.0023,-0.0152,-0.0124,0.0001,-0.001,-0.0022,-0.0225,-0.017,-0.0136,0.0154,-0.01,0.0044,-0.00105
10/31/1934,-0.05,0.01,-0.0042,-0.0267,-0.0693,-0.0163,-0.0163,-0.0163,-0.0166,0.0124,-0.0511,0.0001,0.0691,-0.0165,-0.0676,-0.0132,0.025,-0.0491,-0.0162,-0.0035,0.0691
11/30/1934,0.09,0.11,0.1031,0.0537,0.1092,0.152,0.1269,0.0798,0.0833,0.0649,-0.0224,0.0001,0.0422,0.0834,0.1165,0.1528,0.1675,0.0607,0.0813,0.0941,0.0422
12/31/1934,-0.02,0.01,0.008,0.0058,-0.0168,0.0313,0.0231,0.0014,0.0036,0.0308,-0.0317,0.0001,0.0463,0.0037,0.0031,0.0114,0.0597,-0.0234,0.0038,0.0127,0.04635
